epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.308,1.5919,2.15987,1.80557,0.18879,0.382,0.16365,0.0553,2.22139,2.67312,2.3821,0.000554256,0.000554256,0.000554256
2,253.556,1.59695,2.04332,1.84093,0.33176,0.37363,0.27666,0.10227,2.21118,2.22087,2.37707,0.00108795,0.00108795,0.00108795
3,395.173,1.5691,1.9937,1.81511,0.31372,0.28703,0.23168,0.07957,2.19534,2.38599,2.34213,0.00159963,0.00159963,0.00159963
4,538.996,1.51521,1.92787,1.77583,0.38119,0.3848,0.30657,0.12141,2.0062,2.17056,2.22802,0.00156798,0.00156798,0.00156798
5,679.113,1.4826,1.88257,1.74591,0.40483,0.37107,0.32157,0.12051,2.04659,2.11287,2.22829,0.00153497,0.00153497,0.00153497
6,818.235,1.46132,1.82096,1.72716,0.44578,0.41475,0.33962,0.13771,1.99202,2.08295,2.17592,0.00150197,0.00150197,0.00150197
7,938.157,1.43587,1.81094,1.71127,0.4802,0.43259,0.37927,0.16446,1.90141,1.93577,2.07695,0.00146896,0.00146896,0.00146896
8,1034.85,1.40796,1.75313,1.68895,0.43997,0.42753,0.37499,0.1649,1.89332,1.92086,2.05507,0.00143595,0.00143595,0.00143595
9,1164.54,1.39615,1.73506,1.68516,0.47515,0.4088,0.37419,0.16808,1.83046,1.95194,2.03005,0.00140295,0.00140295,0.00140295
10,1303.33,1.38216,1.70482,1.66989,0.43444,0.43784,0.37068,0.16975,1.8144,1.89988,2.02922,0.00136994,0.00136994,0.00136994
11,1454.95,1.37409,1.70393,1.67186,0.4117,0.42314,0.34966,0.15874,1.82213,1.94967,2.0126,0.00133693,0.00133693,0.00133693
12,1586.61,1.34287,1.66366,1.64823,0.44384,0.42962,0.39242,0.18107,1.79917,1.84731,1.98842,0.00130393,0.00130393,0.00130393
13,1713.58,1.3374,1.63411,1.63983,0.48897,0.41605,0.38937,0.17973,1.80328,1.85865,2.02703,0.00127092,0.00127092,0.00127092
14,1838,1.34202,1.63703,1.64589,0.46293,0.45444,0.40758,0.19209,1.77695,1.82034,1.99559,0.00123791,0.00123791,0.00123791
15,1963.56,1.33296,1.61021,1.6342,0.45114,0.44778,0.40207,0.18047,1.81412,1.83656,2.00345,0.00120491,0.00120491,0.00120491
16,2091.55,1.31435,1.59135,1.62255,0.45346,0.46108,0.38857,0.18071,1.77954,1.85479,1.98831,0.0011719,0.0011719,0.0011719
17,2221.08,1.30863,1.57324,1.61455,0.4418,0.46116,0.39892,0.18136,1.79397,1.82943,1.98707,0.00113889,0.00113889,0.00113889
